Date,TeaPrice_USD_kg,Decade,change_pct
1960-01-01,0.9303009,1960,
1960-02-01,0.9303009,1960,0.0
1960-03-01,0.9303009,1960,0.0
1960-04-01,0.9303009,1960,0.0
1960-05-01,0.9303009,1960,0.0
1960-06-01,0.9303009,1960,0.0
1960-07-01,0.9303009,1960,0.0
1960-08-01,0.9303009,1960,0.0
1960-09-01,0.9303009,1960,0.0
1960-10-01,0.9303009,1960,0.0
1960-11-01,0.9303009,1960,0.0
1960-12-01,0.9303009,1960,0.0
1961-01-01,0.8925009,1960,-4.063201486744772
1961-02-01,0.8925009,1960,0.0
1961-03-01,0.8925009,1960,0.0
1961-04-01,0.8925009,1960,0.0
1961-05-01,0.8925009,1960,0.0
1961-06-01,0.8925009,1960,0.0
1961-07-01,0.8925009,1960,0.0
1961-08-01,0.8925009,1960,0.0
1961-09-01,0.8925009,1960,0.0
1961-10-01,0.8925009,1960,0.0
1961-11-01,0.8925009,1960,0.0
1961-12-01,0.8925009,1960,0.0
1962-01-01,0.8610009,1960,-3.5294082056387954
1962-02-01,0.8610009,1960,0.0
1962-03-01,0.8610009,1960,0.0
1962-04-01,0.8610009,1960,0.0
1962-05-01,0.8610009,1960,0.0
1962-06-01,0.8610009,1960,0.0
1962-07-01,0.8610009,1960,0.0
1962-08-01,0.8610009,1960,0.0
1962-09-01,0.8610009,1960,0.0
1962-10-01,0.8610009,1960,0.0
1962-11-01,0.8610009,1960,0.0
1962-12-01,0.8610009,1960,0.0
1963-01-01,0.8148008,1960,-5.365859664025896
1963-02-01,0.8148008,1960,0.0
1963-03-01,0.8148008,1960,0.0
1963-04-01,0.8148008,1960,0.0
1963-05-01,0.8148008,1960,0.0
1963-06-01,0.8148008,1960,0.0
1963-07-01,0.8148008,1960,0.0
1963-08-01,0.8148008,1960,0.0
1963-09-01,0.8148008,1960,0.0
1963-10-01,0.8148008,1960,0.0
1963-11-01,0.8148008,1960,0.0
1963-12-01,0.8148008,1960,0.0
1964-01-01,0.8190008,1960,0.5154634114252099
1964-02-01,0.8190008,1960,0.0
1964-03-01,0.8190008,1960,0.0
1964-04-01,0.8190008,1960,0.0
1964-05-01,0.8190008,1960,0.0
1964-06-01,0.8190008,1960,0.0
1964-07-01,0.8190008,1960,0.0
1964-08-01,0.8190008,1960,0.0
1964-09-01,0.8190008,1960,0.0
1964-10-01,0.8190008,1960,0.0
1964-11-01,0.8190008,1960,0.0
1964-12-01,0.8190008,1960,0.0
1965-01-01,0.8463009,1960,3.3333422873335516
1965-02-01,0.8463009,1960,0.0
1965-03-01,0.8463009,1960,0.0
1965-04-01,0.8463009,1960,0.0
1965-05-01,0.8463009,1960,0.0
1965-06-01,0.8463009,1960,0.0
1965-07-01,0.8463009,1960,0.0
1965-08-01,0.8463009,1960,0.0
1965-09-01,0.8463009,1960,0.0
1965-10-01,0.8463009,1960,0.0
1965-11-01,0.8463009,1960,0.0
1965-12-01,0.8463009,1960,0.0
1966-01-01,0.7602008,1960,-10.17369826736566
1966-02-01,0.7602008,1960,0.0
1966-03-01,0.7602008,1960,0.0
1966-04-01,0.7602008,1960,0.0
1966-05-01,0.7602008,1960,0.0
1966-06-01,0.7602008,1960,0.0
1966-07-01,0.7602008,1960,0.0
1966-08-01,0.7602008,1960,0.0
1966-09-01,0.7602008,1960,0.0
1966-10-01,0.7602008,1960,0.0
1966-11-01,0.7602008,1960,0.0
1966-12-01,0.7602008,1960,0.0
1967-01-01,0.7308007,1960,-3.867412399460779
1967-02-01,0.7308007,1960,0.0
1967-03-01,0.7308007,1960,0.0
1967-04-01,0.7308007,1960,0.0
1967-05-01,0.7308007,1960,0.0
1967-06-01,0.7308007,1960,0.0
1967-07-01,0.7308007,1960,0.0
1967-08-01,0.7308007,1960,0.0
1967-09-01,0.7308007,1960,0.0
1967-10-01,0.7308007,1960,0.0
1967-11-01,0.7308007,1960,0.0
1967-12-01,0.5846411,1960,-19.999926108445155
1968-01-01,0.6770413,1960,15.804602173880689
1968-02-01,0.6770413,1960,0.0
1968-03-01,0.6770413,1960,0.0
1968-04-01,0.6770413,1960,0.0
1968-05-01,0.6770413,1960,0.0
1968-06-01,0.6770413,1960,0.0
1968-07-01,0.6770413,1960,0.0
1968-08-01,0.6770413,1960,0.0
1968-09-01,0.6770413,1960,0.0
1968-10-01,0.6770413,1960,0.0
1968-11-01,0.6770413,1960,0.0
1968-12-01,0.6770413,1960,0.0
1969-01-01,0.5964011,1960,-11.91067664557538
1969-02-01,0.5964011,1960,0.0
1969-03-01,0.5964011,1960,0.0
1969-04-01,0.5964011,1960,0.0
1969-05-01,0.5964011,1960,0.0
1969-06-01,0.5964011,1960,0.0
1969-07-01,0.5964011,1960,0.0
1969-08-01,0.5964011,1960,0.0
1969-09-01,0.5964011,1960,0.0
1969-10-01,0.5964011,1960,0.0
1969-11-01,0.5964011,1960,0.0
1969-12-01,0.5964011,1960,0.0
1970-01-01,0.6266412,1970,5.070429950581912
1970-02-01,0.6266412,1970,0.0
1970-03-01,0.6266412,1970,0.0
1970-04-01,0.6266412,1970,0.0
1970-05-01,0.6266412,1970,0.0
1970-06-01,0.6266412,1970,0.0
1970-07-01,0.6266412,1970,0.0
1970-08-01,0.6266412,1970,0.0
1970-09-01,0.6266412,1970,0.0
1970-10-01,0.6266412,1970,0.0
1970-11-01,0.6266412,1970,0.0
1970-12-01,0.6266412,1970,0.0
1971-01-01,0.6383995,1970,1.8764007218165624
1971-02-01,0.6695995,1970,4.8872218728241545
1971-03-01,0.7031994,1970,5.017909959610178
1971-04-01,0.6455995,1970,-8.191119048167561
1971-05-01,0.6551995,1970,1.4869899992177915
1971-06-01,0.6359995,1970,-2.9304051666706132
1971-07-01,0.6335995,1970,-0.37735878723176297
1971-08-01,0.7128694,1970,12.511042069951127
1971-09-01,0.7260927,1970,1.8549400493274248
1971-10-01,0.7049534,1970,-2.911377569282836
1971-11-01,0.6930543,1970,-1.687927173625936
1971-12-01,0.7022277,1970,1.3236192315666973
1972-01-01,0.7460141,1970,6.235356423564609
1972-02-01,0.782494,1970,4.889974599675795
1972-03-01,0.8244459,1970,5.3613062847766235
1972-04-01,0.809854,1970,-1.7699038833233316
1972-05-01,0.802558,1970,-0.9009031257485867
1972-06-01,0.7350701,1970,-8.409099404653631
1972-07-01,0.5455723,1970,-25.77955490231475
1972-08-01,0.6359375,1970,16.563377576170947
1972-09-01,0.69375,1970,9.090909090909083
1972-10-01,0.632931,1970,-8.7667027027027
1972-11-01,0.5837871,1970,-7.764495655924586
1972-12-01,0.6031651,1970,3.3193607738163378
1973-01-01,0.6023916,1970,-0.12824017835249002
1973-02-01,0.6574131,1970,9.133842503779931
1973-03-01,0.6958561,1970,5.847616970212499
1973-04-01,0.6926475,1970,-0.4611010810999572
1973-05-01,0.6361446,1970,-8.157526014314643
1973-06-01,0.6047198,1970,-4.939883164928216
1973-07-01,0.6309969,1970,4.345334814570312
1973-08-01,0.7366071,1970,16.73703943711926
1973-09-01,0.7370892,1970,0.06544873108065286
1973-10-01,0.6696567,1970,-9.148485692098053
1973-11-01,0.6302457,1970,-5.885254340022284
1973-12-01,0.6453541,1970,2.397223812871707
1974-01-01,0.6764275,1970,4.814938031694527
1974-02-01,0.6921172,1970,2.319494698249258
1974-03-01,0.8626103,1970,24.633559171770347
1974-04-01,0.8622277,1970,-0.0443537481525591
1974-05-01,0.8406738,1970,-2.4997921082795194
1974-06-01,0.9076923,1970,7.971998175749029
1974-07-01,0.9263513,1970,2.0556525597936526
1974-08-01,0.9663738,1970,4.320445170207021
1974-09-01,0.9606205,1970,-0.5953493358367035
1974-10-01,0.9605361,1970,-0.00878598780683637
1974-11-01,0.9980577,1970,3.90631856522623
1974-12-01,1.024951,1970,2.694563650979287
1975-01-01,1.018491,1970,-0.6302740326122769
1975-02-01,1.064124,1970,4.48045196275666
1975-03-01,1.032988,1970,-2.925974792411412
1975-04-01,0.9577421,1970,-7.284295654935002
1975-05-01,0.9003745,1970,-5.989879739023696
1975-06-01,0.8458949,1970,-6.05077109580513
1975-07-01,0.8252288,1970,-2.4431049294658225
1975-08-01,0.8585998,1970,4.043848203068046
1975-09-01,0.7955002,1970,-7.349128196861921
1975-10-01,0.7523885,1970,-5.419445526223621
1975-11-01,0.7567781,1970,0.5834219954185871
1975-12-01,0.7688305,1970,1.5925936545996722
